NAME	SCORE	TMHMM	TMBB	PROSITE	CDD
NP_416493.1 DNA-binding transcriptional dual regulator Nac	55%	0:No	Yes	PS50931:33.081:['antiporter']:[]	PRK11233:0.0:[]:[]
NP_416662.1 putative LysR-type transcriptional regulator YeiE	55%	0:No	Yes	PS50931:26.144:['antiporter']:[]	PRK10837:0.0:[]:[]
NP_416792.1 DNA-binding transcriptional dual regulator LrhA	55%	0:No	Yes	PS50931:27.281:['antiporter']:[]	PRK15092:0.0:[]:[]
NP_417032.1 DNA-binding transcriptional dual regulator HcaR	55%	0:No	Yes	PS50931:34.757:['antiporter']:[]	PRK09906:1.01441e-177:[]:[]
NP_417316.1 DNA-binding transcriptional dual regulator LysR	55%	0:No	Yes	PS50931:27.933:['antiporter']:[]	PRK11013:0.0:[]:[]
NP_417936.1 Ni(2(+)) ABC transporter ATP binding subunit NikD	55%	0:No	Yes	PS50893:18.734:['transport', 'channel', 'import', 'export']:[]; PS51247:26.271:['transport', 'permease', 'import', 'export']:[]	nikD:3.72476e-168:[]:[]
NP_418024.1 xylose ABC transporter ATP binding subunit	55%	0:No	Yes	PS51280:194.279:['transport', 'permease', 'import', 'export']:[]; PS50893:20.115:['transport', 'channel', 'import', 'export']:[]; PS50893:18.708:['transport', 'channel', 'import', 'export']:[]	PRK13549:0.0:[]:[]
NP_416112.1 putative DNA-binding transcriptional regulator	55%	0:No	No	PS50931:33.186:['antiporter']:[]	PBP2_LTTR_aromatics_like:6.28687e-66:['transport']:['sensor']; HTH_1:6.26146e-24:[]:[]
NP_416519.4 putative DNA-binding transcriptional regulator YeeY	55%	0:No	No	PS50931:23.583:['antiporter']:[]	Periplasmic_Binding_Protein_Type_2 superfamily:1.14412e-63:['transport', 'channel']:['sensor']; rbcR superfamily:3.1485e-17:[]:[]
NP_417576.1 DNA-binding transcriptional activator YhaJ	55%	0:No	No	PS50931:24.066:['antiporter']:[]	Periplasmic_Binding_Protein_Type_2 superfamily:5.98634e-54:['transport', 'channel']:['sensor']; HTH_1:1.10194e-15:[]:[]
NP_415011.1 putative transporter YbaL	54%	12:Yes	Yes	PS51201:16.917:['channel', 'antiporter']:[]	PRK10669:0.0:[]:[]
NP_417809.1 K(+) : H(+) antiporter KefB	54%	10:Yes	Yes	PS51201:16.303:['channel', 'antiporter']:[]	PRK03659:0.0:[]:[]
NP_415281.1 ABC family protein ModF	54%	0:No	No	PS50893:15.093:['transport', 'channel', 'import', 'export']:[]; PS50893:13.072:['transport', 'channel', 'import', 'export']:[]	PRK10938:0.0:['transport']:[]
NP_416270.1 putative ABC transporter ATP-binding protein YnjD	54%	0:No	No	PS50893:16.167:['transport', 'channel', 'import', 'export']:[]	YnjD:1.36753e-133:['transport']:[]
NP_417748.1 NAD-binding component of Trk potassium transporters	49%	0:No	Yes	PS51201:18.029:['channel', 'antiporter']:[]; PS51202:12.34:['channel', 'antiporter']:[]; PS51201:15.976:['channel', 'antiporter']:[]; PS51202:12.973:['channel', 'antiporter']:[]	trkA:0.0:[]:[]
NP_415368.1 putative transport protein YbjL	46%	9:Yes	Yes	PS51202:10.755:['channel', 'antiporter']:[]; PS51202:10.052:['channel', 'antiporter']:[]	PRK04972:0.0:[]:[]
NP_415491.1 hydrogenase 1 small subunit	46%	2:Yes	No	PS51318:10.117:['transport', 'import', 'export']:[]	hydA:0.0:['transport']:[]
NP_418140.4 putative transport protein YidE	46%	8:Yes	Yes	PS51202:10.15:['channel', 'antiporter']:[]; PS51202:12.194:['channel', 'antiporter']:[]	PRK03818:0.0:[]:[]
NP_415017.1 Cu(+) exporting P-type ATPase	45%	6:Yes	Yes	PS50846:16.688:['transport']:[]; PS50846:20.366:['transport']:[]	copA:0.0:[]:[]
NP_415313.1 putative ABC exporter membrane subunit YbhR	45%	6:Yes	Yes	PS51012:32.989:['transport', 'import', 'export']:[]	ABC2_membrane_3:1.10862e-37:[]:[]
NP_415314.1 putative ABC exporter membrane subunit YbhS	45%	6:Yes	Yes	PS51012:27.333:['transport', 'import', 'export']:[]	ABC2_perm_RbbA superfamily:8.60382e-61:[]:[]
NP_415377.1 putrescine ABC transporter membrane subunit PotH	45%	6:Yes	Yes	PS50928:23.713:['transport', 'channel', 'import', 'export']:[]	PRK10683:0.0:[]:[]
NP_415378.1 putrescine ABC transporter membrane subunit PotI	45%	6:Yes	Yes	PS50928:25.324:['transport', 'channel', 'import', 'export']:[]	PRK10592:2.8546e-177:[]:[]
NP_415406.1 glutathione/L-cysteine ABC exporter subunit CydC	45%	6:Yes	Yes	PS50929:29.774:['transport', 'channel', 'import', 'export']:[]; PS50893:23.403:['transport', 'channel', 'import', 'export']:[]	PRK11160:0.0:[]:[]
NP_415407.1 glutathione/L-cysteine ABC exporter subunit CydD	45%	5:Yes	Yes	PS50929:38.589:['transport', 'channel', 'import', 'export']:[]; PS50893:17.214:['transport', 'channel', 'import', 'export']:[]	PRK11174:0.0:[]:[]
NP_415642.1 spermidine preferential ABC transporter membrane subunit PotC	45%	6:Yes	Yes	PS50928:27.044:['transport', 'channel', 'import', 'export']:[]	potC:5.54615e-154:[]:[]
NP_415643.3 spermidine preferential ABC transporter membrane subunit PotB	45%	6:Yes	Yes	PS50928:24.758:['transport', 'channel', 'import', 'export']:[]	potB:6.08654e-164:[]:[]
NP_417942.6 ABC transporter family protein YhhJ	45%	4:Yes	Yes	PS51012:20.718:['transport', 'import', 'export']:[]	ABC2_perm_RbbA superfamily:5.90568e-34:[]:[]
YP_026225.1 ribosome-associated ATPase	45%	4:Yes	Yes	PS50893:19.755:['transport', 'channel', 'import', 'export']:[]; PS50893:22.736:['transport', 'channel', 'import', 'export']:[]; PS51012:19.975:['transport', 'import', 'export']:[]	ABC2_perm_RbbA:0.0:[]:[]
NP_415416.1 dimethyl sulfoxide reductase subunit C	45%	6:Yes	Yes		DmsC:4.62557e-118:[]:['transfer', 'enzyme']
NP_416107.1 putative menaquinol dehydrogenase	45%	8:Yes	Yes		DmsC:1.38714e-122:[]:['transfer', 'enzyme']
NP_416496.1 cobalamin 5'-phosphate synthase	45%	4:Yes	Yes		cobS:8.66816e-84:[]:['enzyme']
YP_009518825.1 putative PTS enzyme II component GlvC	45%	8:Yes	Yes	PS51103:43.511:['transport', 'channel', 'permease', 'carrier']:['enzyme']	PTS-IIBC-alpha superfamily:0.0:['transport']:['enzyme']
NP_414666.1 quinoprotein glucose dehydrogenase	40%	2:Yes	No		Gcd:0.0:['transport']:[]
NP_414671.1 putative PTS enzyme IIA component YadI	40%	0:No	No	PS51096:19.307:['transport', 'channel', 'permease', 'carrier']:['enzyme']	ManX:7.32621e-51:['transport']:[]
NP_414691.1 peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	40%	1:Yes	Yes		mrcB:0.0:[]:['transferase']
NP_414693.1 iron(III) hydroxamate ABC transporter ATP binding subunit	40%	0:No	Yes	PS50893:22.849:['transport', 'channel', 'import', 'export']:[]	PRK10575:0.0:[]:[]
NP_414700.1 vitamin B12 ABC transporter periplasmic binding protein	40%	0:No	Yes	PS50983:30.919:['transport']:[]	PRK03379:0.0:[]:[]
NP_414713.1 UMP kinase	40%	0:No	Yes		AAK_UMPK-PyrH-Ec:2.18415e-147:[]:['transfer', 'enzyme']
NP_414802.2 CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase	40%	0:No	No		DapA:2.92035e-107:['transport']:[]
NP_414805.1 CP4-6 prophage; putative xylosidase/arabinosidase	40%	0:No	No		XynB2:0.0:['transport']:[]
NP_414841.1 putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	40%	0:No	No	PS51379:7.886:[]:['transfer', 'enzyme']; PS51379:6.341:[]:['transfer', 'enzyme']	TIGR00273:0.0:['transport']:[]
NP_414864.1 DNA-binding transcriptional dual regulator PrpR	40%	0:No	Yes	PS50045:61.322:['transport']:[]	PRK15424:0.0:[]:[]
NP_414879.3 DNA-binding transcriptional repressor LacI	40%	0:No	Yes	PS50932:33.018:['transport']:[]	lacI:0.0:[]:[]
NP_414887.2 3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter	40%	12:Yes	Yes	PS50850:48.15:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK11551:8.58032e-171:[]:[]
NP_414898.4 putative deacetylase YaiS	40%	0:No	No		LmbE:4.28277e-45:['transport']:[]
NP_415028.1 putative ABC transporter ATP-binding protein YbbA	40%	0:No	Yes	PS50893:22.863:['transport', 'channel', 'import', 'export']:[]	PRK10584:4.72105e-161:[]:[]
NP_415038.1 ureidoglycolate lyase	40%	0:No	No		AllA:7.38799e-98:['transport']:[]
NP_415048.1 (S)-ureidoglycine aminohydrolase	40%	0:No	No		AllE:6.61616e-149:['transport']:[]
NP_415055.1 5-(carboxyamino)imidazole ribonucleotide synthase	40%	0:No	No	PS50975:30.12:[]:['enzyme']	PurK:1.22731e-172:['transport']:[]
NP_415123.1 enterobactin exporter EntS	40%	10:Yes	Yes	PS50850:18.502:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK10489:0.0:[]:[]
NP_415127.1 enterobactin synthase component B	40%	0:No	No	PS50075:10.573:['carrier']:['transfer', 'enzyme']	EntB:1.41436e-146:['transport']:[]; DhbB2:1.42456e-32:['transport', 'carrier']:[]
NP_415214.1 phosphoglucomutase	40%	0:No	Yes		pgm:0.0:[]:['enzyme']
NP_415269.1 peptidoglycan-associated outer membrane lipoprotein Pal	40%	0:No	Yes	PS51257:5.0:['transport']:[]; PS51123:46.719:['porin']:[]	PRK10802:1.06358e-123:[]:[]
NP_415301.1 putative transferase YbhK	40%	0:No	Yes		CofD_YvcK superfamily:8.92233e-133:['carrier']:['transferase']
NP_415319.1 N-glycosidase YbiA	40%	0:No	No		ybiA:1.84913e-92:['transport']:[]
NP_415350.2 glutathione ABC transporter ATP binding subunit GsiA	40%	0:No	Yes	PS50893:24.023:['transport', 'channel', 'import', 'export']:[]; PS50893:24.25:['transport', 'channel', 'import', 'export']:[]	PRK10261:0.0:[]:[]
NP_415363.1 multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter	40%	11:Yes	Yes	PS50850:19.353:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK15402:0.0:[]:[]
NP_415381.1 L-arginine ABC transporter periplasmic binding protein	40%	0:No	No		PBP2_Arg_STM4351:1.33861e-146:['transport']:[]
NP_415418.1 putative transporter YcaD	40%	10:Yes	Yes	PS50850:22.713:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK03633:0.0:[]:[]
NP_415428.1 3-phosphoshikimate 1-carboxyvinyltransferase	40%	0:No	Yes		EPT-like:0.0:[]:['transfer', 'transferase']
NP_415431.1 30S ribosomal subunit protein S1	40%	0:No	Yes	PS50126:11.742:['export']:[]; PS50126:14.014:['export']:[]; PS50126:22.383:['export']:[]; PS50126:21.754:['export']:[]; PS50126:21.056:['export']:[]; PS50126:21.686:['export']:[]	rpsA:0.0:[]:[]
NP_415471.1 intermembrane transport protein PqiB	40%	1:Yes	No		PRK10807:0.0:['transport']:[]
NP_415477.1 outer membrane porin A	40%	0:No	Yes	PS51123:49.959:['porin']:[]	PRK10808:0.0:[]:[]
NP_415503.1 putative exopolysaccharide export lipoprotein GfcE	40%	0:No	No	PS51257:7.0:['transport']:[]	PRK15078:0.0:['export']:[]
NP_415506.1 lipoprotein GfcB	40%	0:No	No	PS51257:5.0:['transport']:[]	YjbF:9.30975e-82:['porin']:[]
NP_415527.4 flavin reductase	40%	0:No	No		RutF:1.55973e-106:['import']:[]
NP_415530.1 putative aminoacrylate peracid reductase	40%	0:No	No		RutC:1.37719e-85:['import']:[]
NP_415532.3 pyrimidine oxygenase	40%	0:No	No		RutA:0.0:['import']:[]
NP_415544.1 putative diguanylate cyclase DgcT	40%	6:Yes	No	PS50887:37.028:[]:[]	MASE4:5.35891e-69:[]:['sensor']; GGDEF:4.03643e-67:[]:['enzyme']
NP_415556.1 curli assembly component	40%	1:Yes	No		PRK10050:3.2875e-95:['transport']:[]
NP_415557.1 curli transport specificity factor	40%	0:No	No		PRK10386:1.59735e-86:['transport']:[]
NP_415571.1 efflux pump MdtG	40%	9:Yes	Yes	PS50850:39.941:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK09874:0.0:[]:[]
NP_415610.1 [acyl-carrier-protein] S-malonyltransferase	40%	0:No	Yes		fabD:1.30647e-165:['carrier']:['enzyme']
NP_415612.1 acyl carrier protein	40%	0:No	No	PS50075:27.007:['carrier']:['transfer', 'enzyme']	acpP:6.82287e-37:['carrier']:[]
NP_415720.1 putative autotransporter adhesin YcgV	40%	0:No	Yes	PS51208:34.117:['channel', 'export']:[]	autotrans_barl:7.17414e-81:[]:[]; PL1_Passenger_AT:1.50389e-39:[]:[]; PRK15313 superfamily:1.58379e-15:[]:[]
NP_415727.1 outer membrane lipoprotein LolB	40%	0:No	No	PS51257:5.0:['transport']:[]	lolB:9.59809e-112:['carrier']:[]
NP_415735.1 putative cation transport regulator ChaB	40%	0:No	No		chaB:4.842e-37:['transport']:[]
NP_415736.2 glutathione-specific gamma-glutamylcyclotransferase	40%	0:No	No		ChaC:8.7586e-91:['transport']:[]
NP_415743.1 nitrate reductase A subunit beta	40%	0:No	No	PS51379:7.954:[]:['transfer', 'enzyme']; PS51379:8.046:[]:['transfer', 'enzyme']; PS51379:8.407:[]:['transfer', 'enzyme']	NarY:0.0:['transport']:[]
NP_415768.1 Ton complex subunit TonB	40%	0:No	No		PRK10819:9.44988e-106:['transport']:[]
NP_415773.1 DUF892 domain-containing protein YciE	40%	0:No	No		YciE:2.51995e-72:['transport']:[]
NP_415774.1 DUF892 domain-containing protein YciF	40%	0:No	No		YciE:7.60263e-69:['transport']:[]
NP_415787.1 putative oxidoreductase	40%	0:No	No		PRK08945:0.0:['carrier']:[]
NP_415800.1 putative DNA-binding transcriptional regulator YciT	40%	0:No	No	PS51000:17.199:['transport']:['transfer']	GlpR:6.12944e-87:['transport']:[]
NP_415813.4 glutamate-putrescine ligase	40%	0:No	No		GlnA:1.31445e-149:['transport']:[]
NP_415817.1 gamma-glutamylputrescine oxidase	40%	0:No	No		DadA:1.01306e-86:['transport']:[]
NP_415830.2 putative ketohexose-3-epimerase YcjR	40%	0:No	No		YcjR:1.51421e-45:['transport']:[]
NP_415832.1 kojibiose phosphorylase	40%	0:No	No		ATH1:0.0:['transport']:[]
NP_415833.1 beta-phosphoglucomutase	40%	0:No	Yes		bPGM:1.71069e-111:[]:['enzyme']
NP_415836.1 putative LacI-type DNA-binding transcriptional regulator YcjW	40%	0:No	Yes	PS50932:34.103:['transport']:[]	PurR:6.2068e-101:[]:[]
NP_415854.4 p-aminobenzoyl-glutamate hydrolase subunit A	40%	0:No	Yes		M20_Acy1_IAAspH:0.0:[]:['enzyme']
NP_415913.1 3-hydroxyadipyl-CoA dehydrogenase	40%	0:No	Yes		PaaC-3OHAcCoADH:0.0:[]:['enzyme']
NP_415956.1 fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	40%	0:No	No	PS50949:21.153:['transport', 'import']:['transfer']	ARO8:1.56603e-162:['transport']:[]
NP_415957.1 putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase	40%	0:No	No		PBP2_polyamine_1:2.46405e-139:['transport']:[]
NP_415965.1 L-amino acid N-acyltransferase	40%	0:No	No	PS51186:20.56:[]:['transfer']	YncA:1.5604e-84:['transport']:[]
NP_415966.6 NADPH-dependent curcumin/dihydrocurcumin reductase	40%	0:No	No		CurA:0.0:['transport']:[]
NP_415984.1 nitrate reductase Z subunit beta	40%	0:No	No	PS51379:7.811:[]:['transfer', 'enzyme']; PS51379:7.912:[]:['transfer', 'enzyme']; PS51379:8.424:[]:['transfer', 'enzyme']	NarY:0.0:['transport']:[]
NP_415985.1 nitrate reductase Z subunit alpha	40%	0:No	No	PS51669:23.026:['transport']:['enzyme']	NarG:0.0:['transport']:[]
NP_415992.1 formate dehydrogenase N subunit beta	40%	0:No	No	PS51379:7.542:[]:['transfer', 'enzyme']; PS51379:7.156:[]:['transfer', 'enzyme']; PS51379:10.037:[]:['transfer', 'enzyme']; PS51379:6.08:[]:['transfer', 'enzyme']	FDH-beta superfamily:6.96714e-166:['transport']:[]
NP_416030.1 Autoinducer-2 ABC transporter ATP binding subunit	40%	0:No	Yes	PS50893:22.476:['transport', 'channel', 'import', 'export']:[]; PS50893:16.62:['transport', 'channel', 'import', 'export']:[]	PRK15439:0.0:[]:[]
NP_416045.1 L-arabinose exporter	40%	12:Yes	Yes	PS50850:30.072:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK03545:0.0:[]:[]
NP_416048.2 DNA-binding transcriptional dual regulator MarA	40%	0:No	No	PS01124:30.118:['transport', 'porin']:['enzyme']	PRK11511:2.67699e-84:['pump']:[]
NP_416060.1 putative oxidoreductase YdfI	40%	0:No	No		MtlD:0.0:['transport']:[]
NP_416137.1 DNA-binding transcriptional repressor MalI	40%	0:No	Yes	PS50932:30.458:['transport']:[]	PRK10014:0.0:[]:[]
NP_416145.1 SoxR [2Fe-2S] reducing system protein RsxB	40%	1:Yes	No	PS51656:28.82:['transport']:['transfer']; PS51379:10.642:[]:['transfer', 'enzyme']; PS51379:9.432:[]:['transfer', 'enzyme']	PRK05113:8.15752e-133:['transport']:[]
NP_416161.4 putative membrane fusion protein YdhJ	40%	1:Yes	No		EmrA:2.49298e-100:['pump']:[]
NP_416186.4 putative 4Fe-4S ferredoxin-type protein	40%	1:Yes	No	PS51379:8.038:[]:['transfer', 'enzyme']; PS51379:7.374:[]:['transfer', 'enzyme']; PS51379:9.441:[]:['transfer', 'enzyme']	cyt_nit_nrfC superfamily:6.15005e-75:['transport']:[]
NP_416220.1 PF10636 family protein YdiE	40%	0:No	No		HemP:1.77607e-28:['transport']:[]
NP_416239.1 putative kinase YniA	40%	0:No	No		FN3K:0.0:['transport']:[]
NP_416248.1 monoacetylchitobiose-6-phosphate hydrolase	40%	0:No	No		GH4_P_beta_glucosidase:0.0:['channel']:[]
NP_416271.4 molybdopterin synthase sulfurtransferase	40%	0:No	No	PS51257:6.0:['transport']:[]; PS50206:8.985:['transport']:['transfer', 'enzyme']; PS50206:19.865:['transport']:['transfer', 'enzyme']; PS50206:16.688:['transport']:['transfer', 'enzyme']	SseA:6.02261e-90:['transport']:[]
NP_416284.1 putative DNA-binding transcriptional regulator YdjF	40%	0:No	No	PS51000:18.614:['transport']:['transfer']	GlpR:1.84276e-83:['transport']:[]
NP_416286.4 putative sugar kinase YdjH	40%	0:No	No		KdgK:1.02195e-77:['channel']:[]
NP_416294.4 putative aldose 1-epimerase YeaD	40%	0:No	No		YeaD:6.68027e-164:['transport']:[]
NP_416299.1 putative c-di-GMP binding protein CdgI	40%	8:Yes	No	PS50887:31.514:[]:[]	GGDEF:1.02078e-55:[]:['enzyme']; MASE4 superfamily:2.42078e-39:[]:['sensor']
NP_416316.1 carnitine monooxygenase subunit YeaW	40%	0:No	No	PS51296:29.594:['transport']:['transfer', 'enzyme']	RHO_alpha_C_2:5.00096e-108:['transport']:[]; Rieske_RO_Alpha_N:8.22966e-52:[]:[]
NP_416403.1 motility protein B	40%	1:Yes	Yes	PS51123:20.655:['porin']:[]	motB:0.0:[]:[]
NP_416414.1 arabinose ABC transporter periplasmic binding protein	40%	0:No	No		PBP1_arabinose_binding:4.43968e-141:['transport']:[]
NP_416488.1 shikimate:H(+) symporter	40%	12:Yes	Yes	PS50850:34.219:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK09952:0.0:[]:[]
NP_416551.1 undecaprenyl-phosphate glucose phosphotransferase	40%	5:Yes	No		PRK10124:0.0:['carrier']:['transferase']
NP_416566.1 outer membrane polysaccharide export protein Wza	40%	0:No	No	PS51257:7.0:['transport']:[]	PRK15078:0.0:['export']:[]
NP_416581.1 putative multidrug efflux pump MdtD	40%	12:Yes	Yes	PS50850:41.621:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK10504:0.0:[]:[]
NP_416610.4 periplasmic protein involved in nickel/cobalt export	40%	1:Yes	No		RcnB:4.44136e-40:['transport']:[]
NP_416656.1 DNA-binding transcriptional dual regulator GalS	40%	0:No	Yes	PS50932:36.321:['transport']:[]	PRK10401:0.0:[]:[]
NP_416677.1 putative dehydrogenase, NAD-dependent	40%	0:No	No		MtlD:0.0:['transport']:[]
NP_416685.1 putative oligopeptide ABC transporter ATP binding subunit	40%	0:No	Yes	PS50893:21.262:['transport', 'channel', 'import', 'export']:[]; PS50893:22.929:['transport', 'channel', 'import', 'export']:[]	PRK15134:0.0:[]:[]
NP_416702.1 heme trafficking system membrane protein CcmD	40%	1:Yes	No		CcmD:1.12883e-22:['transport']:[]
NP_416715.1 ABC transporter family protein/microcin J25 efflux protein	40%	6:Yes	No	PS50929:23.76:['transport', 'channel', 'import', 'export']:[]; PS50893:17.774:['transport', 'channel', 'import', 'export']:[]	PRK10522:0.0:[]:[]
NP_416725.1 acetyl-CoA:acetoacetyl-CoA transferase subunit alpha	40%	0:No	Yes		PRK09920:1.57974e-154:[]:['transferase']
NP_416736.1 putative autotransporter adhesin YfaL	40%	0:No	Yes	PS51208:36.406:['channel', 'export']:[]	PRK09752:0.0:[]:[]
NP_416745.1 anaerobic glycerol-3-phosphate dehydrogenase subunit B	40%	0:No	No		GlpB:0.0:['transport']:[]
NP_416862.2 CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase	40%	0:No	No		YfbR:2.68212e-37:['transport']:[]
NP_416874.1 oxalyl-CoA decarboxylase	40%	0:No	Yes		oxalate_oxc:0.0:[]:['enzyme', 'transferase']
NP_416884.1 putative PTS multiphosphoryl transfer protein FryA	40%	0:No	Yes	PS51350:23.219:['transport', 'permease', 'carrier']:['enzyme']; PS51094:36.09:['transport', 'channel', 'permease', 'carrier']:['enzyme']	PtsA:0.0:['transport']:[]; fruA:2.82554e-50:['transport']:['enzyme']; PtsH:3.32771e-25:['transport']:[]
NP_416888.1 putative PTS enzyme IIB component FryB	40%	0:No	No	PS51099:19.151:['transport', 'channel', 'permease', 'carrier']:['enzyme']	FrwB:5.25561e-41:['transport']:[]
NP_416922.1 DNA-binding transcriptional dual regulator MurR	40%	0:No	Yes	PS51071:22.921:['transport']:[]; PS51464:23.042:[]:[]	PRK15482:0.0:[]:[]
NP_416933.4 putative structural protein, ethanolamine utilization microcompartment	40%	0:No	Yes	PS51930:34.349:['transport']:[]; PS51933:37.613:[]:[]	PRK15466:2.68143e-112:[]:[]
NP_416934.1 putative structural protein, ethanolamine utilization microcompartment	40%	0:No	Yes	PS51931:35.932:['transport']:[]; PS51931:29.786:['transport']:[]	PRK15405:7.56178e-134:[]:[]
NP_416936.4 ethanolamine ammonia-lyase subunit alpha	40%	0:No	No		EutB:0.0:['transport']:[]
NP_416949.1 putative chaperonin, ethanolamine utilization protein	40%	0:No	No		EutJ:0.0:['transport']:[]
NP_416952.2 putative structural protein, ethanolamine utilization microcompartment	40%	0:No	Yes	PS51930:46.596:['transport']:[]	PRK15474:8.91934e-49:[]:[]
NP_416957.4 putative structural protein, ethanolamine utilization microcompartment	40%	0:No	Yes	PS51931:30.081:['transport']:[]	PRK15468:3.00384e-68:[]:[]
NP_416958.1 malate dehydrogenase	40%	0:No	Yes		PRK07232:0.0:[]:['enzyme']
NP_416976.4 hydrogenase 4 component A	40%	0:No	No	PS51379:6.441:[]:['transfer', 'enzyme']; PS51379:6.458:[]:['transfer', 'enzyme']; PS51379:10.533:[]:['transfer', 'enzyme']; PS51379:6.5:[]:['transfer', 'enzyme']	HycB_like:5.81281e-61:['carrier']:[]
NP_416996.1 polyphosphate kinase	40%	0:No	No	PS50035:9.162:['transport']:['transfer', 'enzyme']	Ppk:0.0:['transport']:[]
NP_417026.1 DNA-binding transcriptional dual regulator IscR	40%	0:No	Yes	PS51197:46.035:['transport']:[]	PRK10857:2.3003e-113:[]:[]
NP_417033.1 putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha	40%	0:No	No	PS51296:27.139:['transport']:['transfer', 'enzyme']	RHO_alpha_C_NDO-like:1.28689e-89:['transport']:[]; HcaE:2.48564e-69:['transport']:[]
NP_417045.4 putative DNA-binding transcriptional regulator, NAGC-like	40%	0:No	No		NagC:7.45527e-50:['transport']:[]
NP_417056.2 putative DNA-binding transcriptional regulator YfhH	40%	0:No	Yes	PS51071:25.357:['transport']:[]; PS51464:20.503:[]:[]	PRK11557:0.0:[]:[]
NP_417082.1 alpha-ketoglutarate:H(+) symporter	40%	9:Yes	Yes	PS50850:35.496:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK10406:0.0:[]:[]
NP_417134.2 adhesin-like autotransporter YpjA	40%	1:Yes	Yes	PS51208:40.358:['channel', 'export']:[]	autotrans_barl:7.67494e-68:[]:[]; auto_AIDA-I superfamily:8.04822e-49:[]:[]; PL1_Passenger_AT:2.23518e-39:[]:[]; AIDA:2.45821e-11:[]:[]; AIDA superfamily:0.000742297:[]:[]
NP_417189.2 DNA-binding transcriptional dual regulator NorR	40%	0:No	Yes	PS50045:65.795:['transport']:[]	PRK05022:0.0:[]:[]
NP_417193.1 putative electron transport protein HydN	40%	0:No	No	PS51379:7.643:[]:['transfer', 'enzyme']; PS51379:6.887:[]:['transfer', 'enzyme']; PS51379:10.516:[]:['transfer', 'enzyme']; PS51379:6.391:[]:['transfer', 'enzyme']	PRK10330:1.02752e-115:['transport']:[]
NP_417204.1 formate hydrogenlyase subunit HycB	40%	0:No	No	PS51379:7.34:[]:['transfer', 'enzyme']; PS51379:6.66:[]:['transfer', 'enzyme']; PS51379:10.003:[]:['transfer', 'enzyme']; PS51379:6.609:[]:['transfer', 'enzyme']	HycB_like:6.01602e-62:['carrier']:[]
NP_417277.1 L-serine deaminase II	40%	0:No	Yes		sda_mono:0.0:[]:['enzyme']
NP_417305.1 phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	40%	6:Yes	No		PRK00052:9.57215e-118:[]:['transferase']
NP_417314.1 DNA-binding transcriptional dual regulator GalR	40%	0:No	Yes	PS50932:33.252:['transport']:[]	PRK10727:0.0:[]:[]
NP_417413.1 arginine decarboxylase, biosynthetic	40%	0:No	No		SpeA:0.0:['transport']:[]
NP_417437.1 putative Fe(2(+))-trafficking protein	40%	0:No	No		YggX:2.3286e-57:['transport']:[]
NP_417478.1 Ton complex subunit ExbD	40%	1:Yes	No		PRK11267:5.81426e-96:['transport']:[]
NP_417510.1 putative enzyme with ATPase activity	40%	0:No	No		Gsp:0.0:['transport']:[]
NP_417526.1 inorganic triphosphatase	40%	0:No	No	PS51707:32.005:[]:[]; PS51708:15.704:[]:[]	PPPi:0.0:['transport']:[]
NP_417536.1 N(6)-L-threonylcarbamoyladenine synthase, TsaD subunit	40%	0:No	Yes		PRK09604:0.0:[]:['transferase']
NP_417541.1 NADPH-dependent ferric chelate reductase	40%	0:No	No	PS51384:13.279:['transport', 'carrier']:['transfer', 'enzyme']	ViuB:3.05733e-95:['transport']:[]
NP_417546.1 DNA-binding transcriptional repressor EbgR	40%	0:No	Yes	PS50932:25.873:['transport']:[]	PRK10339:0.0:[]:[]
NP_417626.1 SCP2 domain-containing protein YhbT	40%	0:No	No		SCP2:1.44292e-88:['transport', 'carrier']:[]
NP_417633.4 polynucleotide phosphorylase	40%	0:No	Yes	PS50084:13.062:['transport']:[]; PS50126:23.823:['export']:[]	PRK11824:0.0:[]:[]
NP_417641.4 putative hydrolase, inner membrane	40%	5:Yes	No		OpgE:4.77233e-130:[]:['transferase']
NP_417662.1 intermembrane phospholipid transport system, ATP binding subunit MlaF	40%	0:No	Yes	PS50893:24.603:['transport', 'channel', 'import', 'export']:[]	PRK11831:0.0:[]:[]
